Country (Country),Species (ASFIS species),Fishing area (FAO major fishing area),3A,FAO Scientific_name,accepted scientific name,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Mexico,Gastropods nei,"Atlantic, Western Central",GAS,Gastropoda,Gastropoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,644,813,1177,760,1350,1961,2647,1603,2600,3817,1768,4010,2391,1524,1709,1648,2518,2833,1333,3061,3735,2430,4724,2317,4904,3060,7020,8070,8529,6107,6828,6554,6184,6543,5917,2908,2255,4465,3178,5997,4439,3263,4442
Mexico,Flathead grey mullet,"Atlantic, Western Central",MUF,Mugil cephalus,Mugil cephalus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,2000,1800,2200,1500,1100,1000,1100,700,1200,1400,1100,1128,1772,1451,1679,2097,2048,3955,2893,2508,4570,5817,4234,5250,6827,6365,7827,7479,6380,6573,6295,6016,7636,7882,7128,4299,4872,5190,4838,3545,1179,1685,3807,3976,3002,3201,2712,2558,2808,3492,2777,3534,4306
Mexico,"Grunts, sweetlips nei","Pacific, Eastern Central",GRX,Haemulidae (=Pomadasyidae),Haemulidae (=Pomadasyidae),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,100,100,0,0,0,100,100,100,70,177,188,183,184,309,195,1739,170,247,277,315,204,267,274,251,1275,1322,1135,1108,1169,604,484,868,1276,375,471,506,634,227,252,2570,2683,3278,2286,2295,2338,1584,1537,2687,3628,4245
Mexico,Northern red snapper,"Atlantic, Western Central",SNR,Lutjanus campechanus,Lutjanus campechanus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2300,2000,2800,2300,2112,1937,1498,1885,1845,1759,1238,1422,1971,2578,3448,3303,3901,4639,3663,3296,5160,4999,6741,7198,4903,4714,4555,4219,3392,3445,2726,2717,2566,1003,912,3195,3337,2893,2574,2251,1055,1109,3227,3078,3369,4211
Mexico,Sea urchins nei,"Pacific, Eastern Central",URC,Strongylocentrotus spp,Strongylocentrotus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1967,1627,1774,2046,2598,3215,2964,3206,4092,3670,4206
Mexico,Tropical spiny lobsters nei,"Pacific, Eastern Central",SLV,Panulirus spp,Panulirus,NA,NA,NA,NA,1500,1600,1300,1400,1300,800,800,1200,1200,1400,1100,1100,1200,1700,1100,1200,1400,1700,1500,1500,1369,1371,1461,1331,1302,1448,1841,2172,1897,1355,1364,1126,1413,1432,1289,1475,1700,1453,1408,1136,1294,1421,1799,1708,1599,1328,2052,1727,1923,2044,1757,1746,1823,1601,2056,1816,2890,2990,2494,2601,3681,3749
Mexico,Penaeus shrimps nei,"Atlantic, Western Central",PEN,Penaeus spp,Penaeus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20200,20300,21000,21800,23100,21300,25900,28200,30500,26700,29161,24599,17827,19203,26110,27838,27610,30279,23485,23105,25150,25476,24318,24304,22654,24076,23847,29284,22715,28058,22709,23435,21450,21984,23170,20155,21288,21847,18533,29650,23924,18851,19684,14456,12748,11887,9216,10426,9019,3853,4269,3563
Mexico,Snooks(=Robalos) nei,"Pacific, Eastern Central",ROB,Centropomus spp,Centropomus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1000,1000,800,800,600,500,500,400,600,400,300,229,261,383,310,320,532,447,995,1560,873,917,706,545,729,807,539,450,603,481,757,1026,563,587,684,752,996,809,862,686,1351,1169,1409,1472,1644,1533,1422,1568,998,1599,2202,3287,3177
Mexico,Pacific bluefin tuna,"Pacific, Eastern Central",PBF,Thunnus orientalis,Thunnus orientalis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000,2000,2000,2000,224,2242,2281,3006,880,210,548,1207,573,214,646,1001,91,55,450,60,50,10,23,20,60,83,3700,370,34,2370,3030,860,1326,1221,8656,4385,9336,4326,3443,3065,7677,2731,6642,3154,4868,3082
Mexico,Atlantic bonito,"Atlantic, Western Central",BON,Sarda sarda,Sarda sarda,NA,NA,NA,NA,NA,0,0,0,0,0,0,100,500,400,0,0,0,0,0,100,100,200,279,198,437,446,237,81,59,174,273,408,396,567,744,212,241,391,356,338,215,200,657,779,674,1143,1279,2040,2194,2314,1721,1506,1401,1509,1500,1251,1306,1188,1113,1469,1294,1391,1447,1534,1994,2915
Mexico,Jumbo flying squid,"Pacific, Eastern Central",GIS,Dosidicus gigas,Dosidicus gigas,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,100,200,100,0,200,100,100,200,100,90,365,897,658,1635,4522,19068,9726,264,89,364,177,269,225,885,7380,5630,5846,8549,3043,1800,39657,107967,120877,26611,57985,56153,73741,115896,97332,87228,53437,65611,57476,84437,57894,42893,34844,23157,11132,9977,2866
Mexico,Penaeus shrimps nei,"Pacific, Eastern Central",PEN,Penaeus spp,Penaeus,50500,51000,39500,39300,35800,43200,44800,43700,50200,60300,66800,72300,70600,70000,48800,38800,44800,48300,35500,33400,43200,43300,44400,46000,44925,44146,29417,27600,41225,46060,49846,41731,55172,53790,50964,49088,48854,59292,50046,49728,34081,36185,35174,40280,41134,46599,44114,49083,43416,46336,40309,35662,36100,48398,39052,32261,33687,38773,28256,27814,27023,17154,14072,4329,1351,2763
Mexico,"Grunts, sweetlips nei","Atlantic, Western Central",GRX,Haemulidae (=Pomadasyidae),Haemulidae (=Pomadasyidae),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,300,100,200,100,200,300,400,200,400,517,656,582,575,505,0,400,574,1,13,23,25,8,15,13,5,6737,6989,6000,5224,5512,5032,5901,9645,6076,5039,3594,3715,3011,1670,1852,1030,1075,1032,1095,1159,1162,1194,733,1988,2043,2594
Mexico,"Groupers, seabasses nei","Pacific, Eastern Central",BSX,Serranidae,Serranidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,200,100,100,200,400,300,200,300,200,2700,3081,2668,2079,2672,2341,0,0,0,0,0,5280,473,834,763,518,690,727,691,735,1928,1414,2588,5254,7126,6158,6800,5306,4037,5115,2599,2513,1569,1639,2358,2532,1672,1154,457,184,1295,1874,2562
Mexico,Black skipjack,"Pacific, Eastern Central",BKJ,Euthynnus lineatus,Euthynnus lineatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,695,53,1182,3129,3539,2464,2114,3407,2450,2987,2351
Mexico,White mullet,"Pacific, Eastern Central",MGU,Mugil curema,Mugil curema,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,554,578,584,250,274,159,172,176,1432,1647,1798
Mexico,Amberjacks nei,"Atlantic, Western Central",AMX,Seriola spp,Seriola,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,100,100,100,0,0,0,0,100,100,96,70,77,71,71,0,0,0,0,0,0,0,0,0,0,0,1265,1312,1127,981,1035,1148,1109,1590,1574,1615,1805,1405,1293,1532,1385,1175,1227,1137,1104,1056,1032,1256,1310,1246,1461,1447
Mexico,White grunt,"Atlantic, Western Central",HLI,Haemulon plumierii,Haemulon plumierii,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1664,1738,1044,863,881,506,248,235,1417,1305,1394
Mexico,Yellowfin tuna,"Atlantic, Western Central",YFT,Thunnus albacares,Thunnus albacares,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,100,100,0,0,0,0,0,0,0,0,0,0,0,16,42,128,612,1059,562,658,33,283,345,112,433,742,855,1093,1518,814,1089,1135,1920,1446,1084,1380,1552,1624,1240,1295,1063,1075,1220,1071,1538,1421,1178,1214,1176
Mexico,Mullets nei,"Atlantic, Western Central",MUL,Mugilidae,Mugilidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,200,300,300,500,500,1000,1200,2100,2100,1358,675,1736,1577,2735,4127,7231,5190,6326,4080,6162,2540,4462,3322,2770,2079,2842,2677,3402,5298,6401,6663,6023,8014,7897,8311,9057,7096,6360,6375,6644,459,480,170,200,189,55,111,144,652,912,848
Mexico,"Marlins,sailfishes,etc. nei","Pacific, Eastern Central",BIL,Istiophoridae,Istiophoridae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,100,0,13,9,0,0,0,22,123,1540,1335,1053,310,183,1879,3641,884,619,1600,342,315,235,87,204,553,1391,2375,283,242,250,196,180,154,197,206,332,307,283,347,149,536,359,554,810
Mexico,Pacific calico scallop,"Pacific, Eastern Central",SCH,Argopecten ventricosus,Argopecten ventricosus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4800,3400,6300,6200,9200,12500,29471,19428,5290,5883,8570,1256,17290,2320,2726,1864,6287,3100,9875,5763,5151,15348,16027,14761,16522,16284,16499,18392,6407,2126,2499,805
Mexico,Caribbean spiny lobster,"Atlantic, Western Central",SLC,Panulirus argus,Panulirus argus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,100,200,200,300,400,300,400,400,600,691,619,229,572,591,696,689,825,979,926,939,702,973,1019,1062,771,658,872,621,881,945,896,756,844,613,645,747,782,1070,926,795,767,800,611,531,469,370,238,547,934,778,780
Mexico,Common dolphinfish,"Pacific, Eastern Central",DOL,Coryphaena hippurus,Coryphaena hippurus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,2,0,4,0,14,26,147,127,9,16,71,222,162,47,72,46,82,162,230,9,26,70,113,115,104,201,208,345,322,362,504,526,712,1074,1044,1260,1271,1028,646,715,761
Mexico,Swordfish,"Pacific, Eastern Central",SWO,Xiphias gladius,Xiphias gladius,NA,NA,NA,NA,100,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,2,4,6,0,0,0,0,7,380,1575,1365,120,47,18,422,550,613,690,2650,861,1160,806,567,424,428,2351,3575,1112,2179,753,443,405,367,770,804,750,744,738,724,526,465,643,1305,640
Mexico,Opalescent inshore squid,"Pacific, Eastern Central",SQO,Loligo opalescens,Doryteuthis (Amerigo) opalescens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,25,8,3,4,35,11,23,25229,28935,633
Mexico,Eastern Pacific bonito,"Pacific, Eastern Central",BEP,Sarda chiliensis,Sarda chiliensis,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,100,500,400,700,400,1200,900,400,0,100,2800,400,700,706,3318,1842,2410,2400,307,1867,822,963,2416,2024,1060,434,147,5919,12037,10521,1060,189,472,6333,6718,399,875,423,1775,429,146,250,146,145,379,2815,14212,6622,7843,2691,8054,4259,1222,1058,611
Mexico,Abalones nei,"Pacific, Eastern Central",ABX,Haliotis spp,Haliotis,12600,12700,9900,8000,4600,7000,10400,8100,17200,6700,6000,6400,7100,8300,7600,7800,6700,6400,8200,6900,6700,6400,5400,4700,6062,6407,2709,2539,4550,3723,2794,1770,1528,1110,1070,1132,1262,1502,1992,2321,3655,2849,3132,2180,1536,1227,1075,924,709,574,535,482,494,386,371,622,649,687,715,743,756,424,452,411,418,601
Mexico,Mullets nei,"Pacific, Eastern Central",MUL,Mugilidae,Mugilidae,NA,NA,NA,NA,3400,2800,3800,3000,2000,3400,4800,4100,3900,3800,2200,2300,4200,4200,4300,4100,4100,3800,3500,4900,3686,4538,3879,4035,5007,5322,5847,14058,9517,40,55,38,23,6692,5017,4202,4177,3957,3786,4107,3832,3952,3764,3467,2987,3449,3129,3166,4206,2845,2965,3090,3227,3112,3192,2386,2463,2613,2962,454,378,547
Mexico,Marine crabs nei,"Atlantic, Western Central",CRA,Brachyura,Brachyura,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,48,25,25,25,14,9,414,707,721,419
Mexico,Yellowfin tuna,"Pacific, Southeast",YFT,Thunnus albacares,Thunnus albacares,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,640,1580,930,2440,480,840,200,10,960,590,560,3760,4520,1410,1070,2380,2970,1640,8040,5050,5252,4911,7244,12256,18395,11700,9106,9998,5065,7410,2820,1770,1418,2699,174,1179,1688,1084,769,473,620,387,843,263
Mexico,Bigeye tuna,"Pacific, Southeast",BET,Thunnus obesus,Thunnus obesus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,110,10,250,210,230,20,0,660,570,100,180,370,0,0,20,0,0,330,10,100,1360,1930,980,800,430,90,320,136,0,8,60,0,0,37,63,160,411,5,120,8,15,0,165
Mexico,Bigeye tuna,"Pacific, Eastern Central",BET,Thunnus obesus,Thunnus obesus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,30,0,0,30,0,30,0,0,0,80,0,90,240,10,0,0,0,0,50,270,80,40,299,495,102,5,91,6,90,61,61,60,17,NA,31,472,1066,15,43,274,20,8,152
Mexico,Croakers nei,"Pacific, Eastern Central",CRX,Micropogonias spp,Micropogonias,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,400,600,300,200,200,100,100,100,100,100,131,221,182,390,633,478,2116,2921,2794,3616,1687,3101,1707,1927,1793,2544,4217,4374,3755,3666,3867,3432,5036,4966,5476,4602,3705,3728,2798,1914,1288,3373,3522,3632,4222,4812,4986,4262,2020,169,108,108
Mexico,Albacore,"Pacific, Eastern Central",ALB,Thunnus alalunga,Thunnus alalunga,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,100,0,1,1,36,0,1,1,31,8,7,33,113,49,3,7,15,2,2,2,10,11,6,5,21,53,8,32,159,40,68,92,102,4,44,35,10,15,27,86,38,138,176,99
Mexico,Flatfishes nei,"Atlantic, Western Central",FLX,Pleuronectiformes,Pleuronectiformes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,100,0,0,71,45,46,96,82,95,56,104,60,95,40,77,110,124,148,140,149,152,103,83,100,166,182,201,225,197,113,175,263,201,217,178,186,144,110,106,3226,91,39,68,55,89
Mexico,Skipjack tuna,"Pacific, Southeast",SKJ,Katsuwonus pelamis,Katsuwonus pelamis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,50,1040,1140,2970,810,440,180,60,220,60,60,1010,4040,710,70,540,80,650,220,690,507,152,505,1066,1600,881,1241,753,440,610,517,514,684,1122,1035,779,3372,1126,951,1224,654,1166,987,39
Mexico,Swordfish,"Atlantic, Western Central",SWO,Xiphias gladius,Xiphias gladius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,4,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,13,22,14,28,24,37,27,34,32,44,41,31,35,34,32,35,38,41,33,32,31
Mexico,"Rays, stingrays, mantas nei","Atlantic, Western Central",SRX,Rajiformes,Rajiformes,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,77,310,68,66,70,135,54,47,1012,971,703,547,677,789,1225,5148,5341,4585,3992,4212,5165,4782,5496,6197,4201,2873,2618,2407,2915,2967,2876,2212,2915,2402,2331,3277,2732,851,19,303,18
Mexico,Black skipjack,"Pacific, Southeast",BKJ,Euthynnus lineatus,Euthynnus lineatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,20,26,0,5
Mexico,Albacore,"Atlantic, Western Central",ALB,Thunnus alalunga,Thunnus alalunga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
Mexico,Bigeye tuna,"Atlantic, Western Central",BET,Thunnus obesus,Thunnus obesus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,6,8,6,2,2,7,4,5,4,3,3,1,1,3,1,1,2,1,1
Mexico,Bigeye tuna,"Pacific, Western Central",BET,Thunnus obesus,Thunnus obesus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,11,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,Eastern Pacific bonito,"Pacific, Southeast",BEP,Sarda chiliensis,Sarda chiliensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,0,0,0,0,0,0,0,0
Mexico,Skipjack tuna,"Pacific, Western Central",SKJ,Katsuwonus pelamis,Katsuwonus pelamis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,388,4262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,Yellowfin tuna,"Pacific, Western Central",YFT,Thunnus albacares,Thunnus albacares,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,69,2036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico,Northern red snapper,"Pacific, Eastern Central",SNR,Lutjanus campechanus,Lutjanus campechanus,NA,NA,NA,NA,NA,NA,NA,NA,2000,3000,500,500,1000,3400,1800,2000,1800,2500,2100,2100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
