Area,Sp.group,Name,Species,2009,2011,2013,2015,2017,U2009,U2011,U2013,U2015,U2017
61,35,Japanese pilchard,Sardinops melanostictus,"?, O",O,O,O,"F,F",L,L,L,M,L
61,35,Pacific herring,Clupea pallasii,F,F,U,F,F,H,H,H,H,H
61,35,"Other Herrings, sardines, anchovies",,,,,,,,,,,
61,35,"35-Herrings, sardines, anchovies",,,,,,,,,,,
61,36,Seerfishes nei,Scomberomorus spp,,,,,,,,,,
61,36,"36-Tunas, bonitos, billfishes",,,,,,,,,,,
61,37,Pacific chub mackerel,Scomber japonicus,F,F,O,O,"F,F",L,L,L,M,L
61,37,Japanese jack mackerel,Trachurus japonicus,F,O,"U, O","O, F",F,L,L,L,M,L
61,37,Pacific saury,Cololabis saira,U,N,F,F,"F,O",M,M,M,H,L
61,37,Other Miscellaneous pelagic fishes,,,,,,,,,,,
61,37,37-Miscellaneous pelagic fishes,,,,,,,,,,,
61,38,"38-Sharks, rays, chimaeras",,,,,,O,,,,,
61,39,39-Marine fishes not identified,,,,,,,,,,,
61,42,Gazami crab,Portunus trituberculatus,F,N,U,F,F,H,H,H,H,H
61,42,"Other Crabs, sea-spiders",,,,,,,,,,,
61,42,"42-Crabs, sea-spiders",,,,,,,,,,,
61,45,Akiami paste shrimp,Acetes japonicus,,,,,,,,,,
61,45,"Other Shrimps, prawns",,,,,,,,,,,
61,45,"45-Shrimps, prawns",,,,,,,,,,,
61,55,Yesso scallop,Patinopecten yessoensis,,,,,,,,,,
61,55,"55-Scallops, pectens",,,,,,,,,,,
61,56,Japanese carpet shell,Ruditapes philippinarum,,,,,,,,,,
61,56,"Other Clams, cockles, arkshells",,,,,,,,,,,
61,56,"56-Clams, cockles, arkshells",,,,,,,,,,,
61,57,Japanese flying squid,Todarodes pacificus,U,N,F,"F, F","O,F",L,L,L,M,H
61,57,Various squids nei,"Loliginidae, Ommastrephidae",F,F,F,F,F,H,H,H,H,M
61,57,,,,,,,,,,,,
61,57,"Other Squids, cuttlefishes, octopuses",,,,,,,,,,,
61,57,"57-Squids, cuttlefishes, octopuses",,,,,,,,,,,
67,23,Chinook(=Spring=King)salmon,Oncorhynchus tshawytscha ,F-O,F-O,F-O,O,F/O,L,L,L,L,L
67,23,Chum(=Keta=Dog)salmon,Oncorhynchus keta ,F,F,F,O,F/O,L,L,L,L,M
67,23,Coho(=Silver)salmon,Oncorhynch Kisutch,F-O,F-O,F-O,F,F/O,L,L,L,L,L
67,23,Pink(=Humpback)salmon,Oncorhynch gorbuska,F,F,F,F,F/O,L,L,L,L,L
67,23,Sockeye(=Red)salmon,Oncorhynch nerka,F,F,F,"F,O",F/O,L,L,L,L,L
67,23,"Other Salmons, trouts, smelts, etc. ",Oncorhynch sp.,,,,,,,,, ,
67,23,"23-Salmons, trouts, smelts, etc. ",,,,,,,,,,,
67,31,,,,,,,,,,,,
67,31,Pacific halibut,Hippoglossus Stenolepis,F,F,F,F,F,L,L,L,L,L
67,31,Yellowfin sole,Lamanda aspera,U,N-F,U-F,N,U,L,L,L,L,L
67,31,Other flounder halibut and sole,,F-U,F,F,F,U,L,L,L, ,L
67,31,31-Flounders,,,,,,,,,,, 
67,32,,,,,,,,,,,,
67,32,Alaska pollock (-walleye pollock),Teragra chalcogramma,F,F,F,N-F,F,L,L,L,L,L
67,32,North Pacific hake,Merluccius productus,F,F,F,F,U,L,L,L,L,L
67,32,Pacific cod,Gadus macrocephalus,F,F,F,N,U,L,L,L,L,L
67,32,Ling cod,Ophiodon elogatus,,,F,F,F-U,,,L,L,L
67,32,Rockfish,Sabastes Species,,,F-O-R,"O,F,N",F-U,,,L,L,M
67,32,Sablefish,Anoploma fimbria,,,F,F,F-U,,,L,L,M
67,32,"Other cos, hakes, haddocks, etc.",,,,,,,,,,,
67,32,32-Cods hakes and haddocks,,,,,,,,,,,
67,35,Pacific Herring,Clupia pallasii,,F,F,N,F-U,L,L,L,,L
67,35,"Other herring, sardine, anchovy, ",,,F,F,F,F,L,L,L,N/A,L
67,35,,,,, ,,,,,,, 
67,35,"35-Herrings, sardines, achovies",,,,,,,,,,,
67,37,,,,,,,,,,,,
67,37,Pacific chub mackerel,Scomber japonicus,F,F,F,F,F,L,L,L,L,L
67,37,Other miscellaneous pelegic fishes,,,F,F,F,F, , , ,,L
67,37,37-Miscellaneous pelagic fishes,,,F,F,F,F,,,,,L
67,42,,,,,,,,,,,,
67,42,,,,,,,,,,,,
67,42,Dungeness Crab,Cancer magister,F,F-O,F,N,F,M,M,M,,L
67,42,Pacific rock crab,Cancer porductus,F,F,F,N, ,L,L,L,,L
67,42,"Other sea-spiders, crabs, etc.",,F,F,F,F,,L,L,L,,
67,42,"42-Sea-spiders, crabs, etc.",,,,,,,,,,,
67,45,,,,,,,,,,,,
67,45,Pacific shrimp,Pandalus sp.,F,F,F,F,F,M,M,M,,L
67,45,"Other shrimps, prawns, etc.",,F,F,F,F,F,M,M,M,,L
67,45,"45-Shrimps, prawns, etc.",,,,,,,,,,,
71,24,Chacunda gizzard shad,Anodontostoma chacunda,,,F,F,F,,,H,H,H
71,24,Diadromous clupeoids nei,Clupeoidei,,,F,F,F,,,H,H,H
71,24,Indian pellona,Pellona ditchela,,,F,F,F,,,H,H,H
71,24,Toli shad,Tenualosa toli,U,F,O,O,O,H,H,H,M,M
71,24,24-Shads,,,,,,,,,,,
71,33,Bigeyes nei,Priacanthus spp,,,F,F,F,,,H,H,H
71,33,Lizardfishes nei,Synodontidae,F,F,O,F,O,H,H,H,M,M
71,33,Mullets nei,Mugilidae,F,F,F,F,F,H,H,H,H,H
71,33,Percoids nei,Percoidei,,,O,O,O,,,H,M,M
71,33,Ponyfishes(=Slipmouths),Leiognathus spp,,,O,O,O,,,H,H,H
71,33,Ponyfishes(=Slipmouths) nei,Leiognathidae,F,F,F,F,F,H,H,H,H,H
71,33,Sea catfishes nei,Ariidae,F,F,F,F,F,H,H,H,H,H
71,33,Threadfin breams nei,Nemipterus spp,F,F,F,F,F,H,H,H,H,H
71,33,Other Miscellaneous coastal fishes,,,,,,,,,,,
71,33,33-Miscellaneous coastal fishes,,,,,,,,,,,
71,34,"Hairtails, scabbardfishes nei",Trichiuridae,U,F,F,F,F,H,H,H,M,M
71,34,Largehead hairtail,Trichiurus lepturus,F,F,F,F,F,H,H,H,M,M
71,34,Other Miscellaneous demersal fishes,,,, ,F,F,,,,M,M
71,34,34-Miscellaneous demersal fishes,,,,,,,,,,,
71,35,"Anchovies, etc. nei",Engraulidae,F,F,F,F,F,H,H,H,M,M
71,35,Bali sardinella,Sardinella lemuru,F, ,O,O,O,H,,H,M,M
71,35,Goldstripe sardinella,Sardinella gibbosa,F,F,F,F,O,H,H,H,M,M
71,35,Sardinellas nei,Sardinella spp,F,F,F,F,F,H,H,H,M,M
71,35,Stolephorus anchovies nei,Stolephorus spp,F,F,F,F,F,H,H,H,H,H
71,35,"Other Herrings, sardines, anchovies",,,, ,F,F,,,,M,M
71,35,"35-Herrings, sardines, anchovies",,,,,,,,,,,
71,36,Frigate and bullet tunas,"Auxis thazard, A. rochei",F,F,,F,F,M,H,H,M,M
71,36,Kawakawa,Euthynnus affinis,F,F,,F,F,H,M,M,M,M
71,36,Skipjack tuna,Katsuwonus pelamis,,F,,U/F,F,,M,M,H,H
71,36,Tuna-like fishes nei,Scombroidei,O,O,,O,O,H,M,M,H,H
71,36,Yellowfin tuna,Thunnus albacares,,F,,F,,,M,M,H,H
71,36,"Other Tunas, bonitos, billfishes",,F,F,,F,F,M,M,M,H,H
71,36,"36-Tunas, bonitos, billfishes",,,,,,,,,,,
71,37,Bigeye scad,Selar crumenophthalmus,F,F,F,F,F,H,H,H,M,M
71,37,Carangids nei,Carangidae,,F,F,F,F,,H,H,M,M
71,37,Flyingfishes nei,Exocoetidae,F,F,F,F,F,H,H,H,H,H
71,37,Indian mackerel,Rastrelliger kanagurta,F,F,F,F,F,H,H,H,H,H
71,37,Indian mackerels nei,Rastrelliger spp,F,F,F,F,O,H,H,H,H,H
71,37,Indian scad,Decapterus russelli,F,F,F/O,F/O,F,H,H,H,H,H
71,37,Short mackerel,Rastrelliger brachysoma,U,N,F,F,F,H,H,H,H,H
71,37,Other Miscellaneous pelagic fishes,,O,O,F,F,F,H,H,H,H,H
71,37,37-Miscellaneous pelagic fishes,,,,,,,,,,,
71,38,"Rays, stingrays, mantas nei",Rajiformes,O,O,O,O,O,M,H,H,M,M
71,38,"Sharks, rays, skates, etc. nei",Elasmobranchii,O,O,O,O,O,M,H,H,M,M
71,38,"Other Sharks, rays, chimaeras",,,, ,F,F,,,,H,H
71,38,"38-Sharks, rays, chimaeras",,,,,,,,,,,
71,39,Marine fishes nei,Osteichthyes,F,F,F,F,F,H,H,H,H,H
71,39,39-Marine fishes not identified,,,,,,,,,,,
71,45,Banana prawn,Penaeus merguiensis,F,F,F,F,F,H,H,H,H,H
71,45,Giant tiger prawn,Penaeus monodon,F,F,F,F,F,H,H,H,H,H
71,45,Natantian decapods nei,Natantia,,,F,F,F,,,,H,H
71,45,Penaeus shrimps nei,Penaeus spp,O,O,O,O,O,H,H,H,H,H
71,45,Sergestid shrimps nei,Sergestidae,F,F,F,F,F,H,H,H,H,H
71,45,"Other Shrimps, prawns",,,, ,F,F,,,,H,H
71,45,"45-Shrimps, prawns",,,,,,,,,,,
71,57,Common squids nei,Loligo spp,F,F,F,F,F,H,H,H,H,H
71,57,"Cuttlefish, bobtail squids nei","Sepiidae, Sepiolidae",F,F,F,F,F,H,H,H,M,M
71,57,"Octopuses, etc. nei",Octopodidae,F,F,F,F,F,H,H ,H,M,M
71,57,Various squids nei,"Loliginidae, Ommastrephidae",,,F,F,F,,,H,H,H
71,57,"Other Squids, cuttlefishes, octopuses",,,, ,F,F,,,,H,H
71,57,"57-Squids, cuttlefishes, octopuses",,,,,,,,,,,
77,32,"32-Cods, hakes, haddocks",,,,,F,F,,,,L,L
77,33,33-Miscellaneous coastal fishes,,F,F,F,F-O,F-O,H,H,H,H,L
77,34,34-Miscellaneous demersal fishes,,,,,,,,,,,
77,35,California pilchard,Sardinops caeruleus,F,F,F,F,F,L,L,L,L,M
77,35,Californian anchovy,Engraulis mordax,F,F,F,F,F,L,L,L,M,M
77,35,Pacific anchoveta,Cetengraulis mysticetus,F,F,F,F,F,M,M,M,M,M
77,35,Pacific thread herring,Opisthonema libertate,F,F,F,F,F,H,H,H,M,L
77,35,"Other Herrings, sardines, anchovies",,,,,,,,,,,
77,35,"35-Herrings, sardines, anchovies",,,,,,,,,,,
77,36,Albacore,Thunnus alalunga,,,,,,,,,,
77,36,Bigeye tuna,Thunnus obesus,,,,,,,,,,
77,36,Pacific bluefin tuna,Thunnus orientalis,,,,,,,,,,
77,36,Skipjack tuna,Katsuwonus pelamis,,,,,,,,,,
77,36,Yellowfin tuna,Thunnus albacares,,,,,,,,,,
77,36,"Other Tunas, bonitos, billfishes",,,,,,,,,,,
77,36,"36-Tunas, bonitos, billfishes",,,,,,,,,,,
77,37,Pacific chub mackerel,Scomber japonicus,U,N,U,"U,F",N,L,L,L,"L,M",M
77,37,Pacific jack mackerel,Trachurus symmetricus,U,F,U,U ,N-F,L,L,L,M,M
77,37,Other Miscellaneous pelagic fishes,,,,,,,,,,,
77,37,37-Miscellaneous pelagic fishes,,,,,,,,,,,
77,39,39-Marine fishes not identified,,,,,,,,,,,
77,42,Dungeness crab,Cancer magister,,,,F,F,,,,M,M
77,42,"Other Crabs, sea-spiders",,,,,,,,,,,
77,42,"42-Crabs, sea-spiders",,,,,,,,,,,
77,45,"45-Shrimps, prawns",,F/O,F/O,F-O,F-O,F-O,H,H,H,H,H
77,53,53-Oysters,,, ,,,,,,,,
77,57,Jumbo flying squid,Dosidicus gigas,U,N,U,F,F,M,M,M,L,H
77,57,"Octopuses, etc. nei",Octopodidae,, ,,,,, ,,,
77,57,Opalescent inshore squid,Loligo opalescens,U,N,F,F,F,M,M,M,M,M
77,57,Various squids nei,"Loliginidae, Ommastrephidae",,,,,,,,,,
77,57,"57-Squids, cuttlefishes, octopuses",,,,,,,,,,, 
81,32,Blue grenadier,Macruronus novaezelandiae,F,F,F,F,F,M,M,L,L,L
81,32,Gadiformes nei,Gadiformes,F,F,F,F,F,L,L,M,M,M
81,32,Red codling,Pseudophycis bachus,,,,,,,,,,
81,32,Southern blue whiting,Micromesistius australis,F,F,F,F,F,H,H,L,L,L
81,32,Southern hake,Merluccius australis,F,F,F,F,F,M,M,L,L,L
81,32,"Other Cods, hakes, haddocks",,,,,,,,,,,
81,32,"32-Cods, hakes, haddocks",,,,,,,,,,,
81,33,Mullets nei,Mugilidae,F,F,F,F,F,L,L,L,L,L
81,33,Silver seabream,Pagrus auratus,F,F,F,O,F,L,L,M,M,M
81,33,Other Miscellaneous coastal fishes,,F,F,F,F,F,H,H,M,M,M
81,33,33-Miscellaneous coastal fishes,,,,,,,,,,,
81,34,Demersal percomorphs nei,Perciformes,,,,,O,,,,,
81,34,"Hairtails, scabbardfishes nei",Trichiuridae,,,,,,,,,,
81,34,Orange roughy,Hoplostethus atlanticus,O,O,O,O,O,M,M,L,L,L
81,34,Oreo dories nei,Oreosomatidae,"F,O","F,O",F,O,F,H,H,L,L,L
81,34,Pink cusk-eel,Genypterus blacodes,F,F,F,F,F,M,M,L,L,L
81,34,Silver gemfish,Rexea solandri,"F,O","F,O",F,F,F,H,H,L,L,L
81,34,Silver scabbardfish,Lepidopus caudatus,,,,,F,,,,,
81,34,Snoek,Thyrsites atun,U,N,F,F,F,H,H,L,L,L
81,34,Warehou nei,Seriolella spp,F,O,O,O,O,M,M,L,L,L
81,34,Other Miscellaneous demersal fishes,,N,N,U,U,F,H,H,H,H,H
81,34,34-Miscellaneous demersal fishes,,,,,,,,,,,
81,37,Barracudas nei,Sphyraena spp,F,F,F,F,F,L,L,M,M,M
81,37,Blue mackerel,Scomber australasicus,U,N,F,F,F,M,M,L,L,L
81,37,"Butterfishes, pomfrets nei",Stromateidae,,,,,,,,,,
81,37,Greenback horse mackerel,Trachurus declivis,F,F,F,F,F,M,M,H,H,H
81,37,Jack and horse mackerels nei,Trachurus spp,F,F,F,F,F,H,H,H,H,H
81,37,Mackerels nei,Scombridae,U,N,F,F,F,M,M,L,L,L
81,37,White trevally,Pseudocaranx dentex,F,F,"F,O",F,"F,O",M,M,M,M,M
81,37,Other Miscellaneous pelagic fishes,,,,,,,,,,,
81,37,37-Miscellaneous pelagic fishes,,,,,,,,,,,
81,57,"Cuttlefish, bobtail squids nei","Sepiidae, Sepiolidae",,,,,,,,,,
81,57,"Octopuses, etc. nei",Octopodidae,U,N,F,F,F,H,H,M,M,M
81,57,Various squids nei,"Loliginidae, Ommastrephidae",F,F,F,F,F,H,H,L,L,L
81,57,Wellington flying squid,Nototodarus sloani,F,F,F,F,F,H,H,M,M,M
81,57,"57-Squids, cuttlefishes, octopuses",,,,,,,,,,,
87,32,Patagonian grenadier,Macruronus magellanicus,O,O,O,O,O,H,L,L,L,L
87,32,South Pacific hake,Merluccius gayi,O,O,F-O,O,O,L,L,L,L,L
87,32,Southern hake,Merluccius australis,F,F,O,O,O,H,L,L,L,L
87,32,"Other Cods, hakes, haddocks",,,,,,,,,,,
87,32,"32-Cods, hakes, haddocks",,,,,,,,,,,
87,33,33-Miscellaneous coastal fishes,,,,,,,,,,,
87,34,Patagonian toothfish,Dissostichus eleginoides,F,O,O,O,O,H,M,L,L,L
87,34,Other Miscellaneous demersal fishes,,,,,,,,,,,
87,34,34-Miscellaneous demersal fishes,,,,,,,,,,,
87,35,Anchoveta(=Peruvian anchovy),Engraulis ringens,F,F,F,"O, F ",F,L,L,L,L,M
87,35,Araucanian herring,Strangomera bentincki,F,F,F,F,F,M,M,H,L,L
87,35,Pacific thread herring,Opisthonema libertate,F,F,F,F-O,O,H,H,L,H,M
87,35,South American pilchard,Sardinops sagax,F,F,F,F,O,L,L,M,L,M
87,35,"Other Herrings, sardines, anchovies",,,,,,,,,,,
87,35,"35-Herrings, sardines, anchovies",,,,,,,,,,,
87,36,Bigeye tuna,Thunnus obesus,,,,,,,,,,
87,36,Eastern Pacific bonito,Sarda chiliensis,,,,,,,,,,
87,36,Skipjack tuna,Katsuwonus pelamis,,,,,,,,,,
87,36,Yellowfin tuna,Thunnus albacares,,,,,,,,,,
87,36,"Other Tunas, bonitos, billfishes",,,,,,,,,,,
87,36,"36-Tunas, bonitos, billfishes",,,,,,,,,,,
87,37,Chilean jack mackerel,Trachurus murphyi,O,O,O,O,F,M,L,L,L,L
87,37,Pacific chub mackerel,Scomber japonicus,F,F,F,O,F,H,H,H,H,L
87,37,Other Miscellaneous pelagic fishes,,,,,,,,,,,
87,37,37-Miscellaneous pelagic fishes,,,,,,,,,,,
87,57,Jumbo flying squid,Dosidicus gigas,U,N,U,U,F,H,H,M,H,L
87,57,Various squids nei,"Loliginidae, Ommastrephidae",,,,,,,,,,
87,57,"Other Squids, cuttlefishes, octopuses",,,,,,,,,,,
87,57,"57-Squids, cuttlefishes, octopuses",,,,,,,,,,,
88,32,Grenadiers nei,Macrourus spp,F,,,,,M,,,,
88,34,Lanternfishes nei,Myctophidae,F,F,,F,F,M,M,M,M,M
88,34,Other Miscellaneous demersal fishes,,F,F,F,F,F,M,M,H,H,H
88,34,34-Miscellaneous demersal fishes,,,,,,,,,,,
88,46,Antarctic krill,Euphausia superba,U-F,N-F,U-F,?,U-F,M,M,,L,L
88,46,"46-Krill, planktonic crustaceans",,,,,,,,,,,
Tunas,36,Albacore,Thunnus alalunga,"O,F,?","O,F","O,O,?","U,F,?","U,F,F",L,L,"L,L,H","L,M,H","L,L,M"
Tunas,36,Atlantic bluefin tuna,Thunnus thynnus,"O,O","O,O","O,O","F,O","O,O",L,L,L,L,"H,H"
Tunas,36,Bigeye tuna,Thunnus obesus,F,F,F,O,O,L,L,L,L,"L,L,M"
Tunas,36,Skipjack tuna,Katsuwonus pelamis,"N,N","F,F","N,N","F, F","F,U",L,L,M,"L,M","M,L"
Tunas,36,Southern bluefin tuna,Thunnus maccoyii,O,O,O,O,O,L,L,L,L,
Tunas,36,Yellowfin tuna,Thunnus albacares,F,F,O,O,O,L,L,L,L,L
Tunas,36,Albacore,Thunnus alalunga,F,F,F,U,U,L,L,L,L,L
Tunas,36,Bigeye tuna,Thunnus obesus,F,F,F,F,F,L,L,L,L,L
Tunas,36,Skipjack tuna,Katsuwonus pelamis,N,N,N,U,F,M,M,M,L,L
Tunas,36,Southern bluefin tuna,Thunnus maccoyii,O,O,O,,,L,L,L,,
Tunas,36,Yellowfin tuna,Thunnus albacares,F,F,N,O,O,L,L,L,L,L
Tunas,36,Albacore,Thunnus alalunga,"O,N","F,N","N-F,N","U,U","U,U",L,L,"M,L",L,L
Tunas,36,Bigeye tuna,Thunnus obesus,F;F,"F,F","F,F","O,O","F,F",L,L,L,L,L
Tunas,36,Pacific bluefin tuna,Thunnus orientalis,O,O,O,O,O,L,L,M,L,L
Tunas,36,Skipjack tuna,Katsuwonus pelamis,"N,N","F,N","N-F,N","F,U","F,U","M,L","M,L","M,L",L,L
Tunas,36,Southern bluefin tuna,Thunnus maccoyii,O,O,O,O,O,L,L,L,L,L
Tunas,36,Yellowfin tuna,Thunnus albacares,F;N,"O,F","O,O","O,F","F,F",L,L,L,L,L
,,,,,,,,,,,,, 
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,, 
